539184759092817920	Las Picas las da Santi Giménez que valora en su justa medida la actuación de cada jugador.	SEVILLANOROBER	2147483647	ESPAÑA	2014-11-30 22:30:38	41.3941	2.1393	6
539184769905750017	28. El libro me hace reflexionar, y he llorado en chachitos.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:30:41	41.3243	2.01287	10
539184771323404289	'Cause you'll never fully dressed without a smile (8)	LauraCuchi	470418240	Pigfarts, Marte	2014-11-30 22:30:41	41.425	2.17784	10
539184777585508352	@OriolRV @Manuel_de_BCN tan de bo...	Martorellensen	1293864277	Barcelona	2014-11-30 22:30:43	41.3757	2.15374	10
539184803669884928	http://t.co/agIbbhfNLZ	efarrero8	629694900		2014-11-30 22:30:49	41.4074	2.13217	10
539184804584255488	La única semis de champions que jugara Vermaelen será en el fifa15	4jjhr	301971264		2014-11-30 22:30:49	41.4593	2.24055	6
539184812947693568	Como mañana llueva como hoy.. a la uni en patera ???	AnndreaSorianno	598400349	Barcelona / Vic	2014-11-30 22:30:51	41.3941	2.1393	6
539184815665594368	FCBARCELONA. #Busquets evita con gol gol en el 93 lo que iba a ser un #RoboAlBarça. La crónica del partido de Valencia.#bit.ly/1w7BFKO	MadridBarcelona	132831172	Madrid	2014-11-30 22:30:52	41.3941	2.1393	6
539184835756298241	http://t.co/l9MfuWnDRB	UteroDeGato	2147483647	vegania	2014-11-30 22:30:57	41.4122	2.21971	10
539184848074989568	Gracias @Josefo1965  !!! Impresentable como este @bra507  son los que después terminan como lo de hoy @ElDiosCule	aestevan	136246859	Barcelona	2014-11-30 22:31:00	41.4001	2.14593	10
539184855670882304	Hachiko, siempre había querido ver esta película.	JRubiki	915176750	El Prat del Llobregat	2014-11-30 22:31:01	41.3231	2.09644	10
539184882057248769	Todo por el rockandroll #barcelona http://t.co/lqYsrXxgoi	Davak99	144949497		2014-11-30 22:31:08	41.3802	2.1741	10
539184885651742721	Quiero mucho a mis amigos @ccarlotta4 @paulapages14	auroraolearo	482348528		2014-11-30 22:31:08	41.3756	2.12819	10
539184907197878273	viendo #hachiko pobre perro que arton de llorar\
esto sí es lealtad	mireiafuentes1	302617697	hospitalet barcelona 	2014-11-30 22:31:14	41.3664	2.10878	10
539184910599462912	@KeruSanchez @Marabarros7 uyyyyyyyy ???????	Exojo	178015685	España	2014-11-30 22:31:14	41.4293	2.17226	10
539184942002221056	¿Rostro de dios? Pues es feo de cojones eh. No me extraña que usará una paloma #CuartoMiIenio	Carol_Raval	242511903	Ravalkistán (Barcelona) 	2014-11-30 22:31:22	41.3782	2.17305	6
539184960478126080	@Idiotadelrey meji que pasa ? O:	albamorenox2	554464261	Sant boi, Barcelona.	2014-11-30 22:31:26	41.3488	2.02539	10
539185038357585920	Carla vuelve a su twitter personal.	lauradavins_	165753323	 Barcelona	2014-11-30 22:31:45	41.4098	2.15877	10
539185054363443200	I'm more than a conqueror	TheeGoGetta_	39042421	Barcelona, Spain	2014-11-30 22:31:49	41.3941	2.1393	6
539185086487605248	A estas horas o estás dormido, o estás cachondo o tienes hambre.	gangsteroverall	306213399		2014-11-30 22:31:56	41.4593	2.24055	6
539185090971303936	#DBT9GH15 que pesada de yoli no le deja ni en el confe tranakilo pobre #jonny _^^	fanny_92bcn	274474712	ESPAÑA	2014-11-30 22:31:57	41.3941	2.1393	6
539185125700173824	Es imposible no llorar con la película Hachiko, IMPOSIBLE. Alguna lágrima se te cae fijo	JaritaBonita	294226151	Santako Rumba Style	2014-11-30 22:32:06	41.4501	2.21309	10
539185128187371520	29. Ni fumar ni beber me llama la atención.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:32:06	41.3243	2.01287	10
539185138375344130	@RVives2 Ale yo de Barsuna	karlosalmendros	180771287	Barcelona	2014-11-30 22:32:09	41.4293	2.17402	10
539185155911335936	Jad Fair's broken #guitar \
#HalfJapanese @ Almo2bar http://t.co/GWmygO02xw	Lo_Shaun	107226188	Bar 	2014-11-30 22:32:13	41.4055	2.16235	10
539185157908213761	@EsKinguin @HDluh gracias! :D	sra_hipster	1084995990	Barcelona-España	2014-11-30 22:32:13	41.3075	1.99995	10
539185205748436992	@MikuChinatsu Te voy a pegar en la boca y te mandaré a fregar	xPeketkm	800408256		2014-11-30 22:32:25	41.3941	2.1393	6
539185208873193472	Yoli te pasas de pesada y acosadora...? #DBT9GH15 #dbt#gh #gh24h #GHDirecto	nnoeliaaaa	314161575		2014-11-30 22:32:26	41.4388	2.24201	10
539185209091309568	@PdeTannhauser volviendo de Alejandría	ilalpresa	2147483647	Gotham City (España y Francia)	2014-11-30 22:32:26	41.4758	2.09123	10
539185217882570752	@Idiotadelrey no estes mal jupe que no puedo ir a darte una abraçada!	albamorenox2	554464261	Sant boi, Barcelona.	2014-11-30 22:32:28	41.3488	2.02544	10
539185243673333762	@danimarindj8 si me hubiese hundido en la primera risa hacia mi, hubiese dejado de ser del vcf hace 17 años.. Mañana iré ORGULLOSÍSIMO x bcn	Daannyyvcf	243174151	Badalona, Barcelona	2014-11-30 22:32:34	41.4389	2.2315	10
539185264128958464	Aquesta nit el gregal serà fort I demà la tramuntana també es deixarà sentir a #Bcn	Eixamplemeteo	468537409	Barcelona	2014-11-30 22:32:39	41.4299	2.21868	10
539185302322302977	30. Tengo 53% de batería sf.	Itsmaria01_	2147483647	Barcelona ⛅ 1/2	2014-11-30 22:32:48	41.3243	2.01288	10
